Item_name,Category,Price,Url
Margherita Pizza,main,480,https://images.unsplash.com/photo-1595854341625-f33ee10dbf94
Farmhouse Pizza,main,500,https://images.unsplash.com/photo-1513104890138-7c749659a591
Chocolate Ice Cream,dessert,200,https://images.unsplash.com/photo-1580915411954-282cb1b0d780
Strawberry Ice Cream,dessert,200,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f
Butterscotch Ice Cream,dessert,200,https://images.unsplash.com/photo-1549395156-e0c1fe6fc7a5
Paneer Pizza,main,380,https://images.unsplash.com/photo-1573821663912-569905455b1c
Paneer Makhani,main,180,https://images.unsplash.com/photo-1589647363585-f4a7d3877b10
French Fries,starter,220,https://images.unsplash.com/photo-1606755456206-b25206cde27e
Veg Burger,starter,250,https://images.unsplash.com/photo-1541657267876-788b156193bc
Cheese Block,starter,40,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d
Parantha,main,10,https://images.unsplash.com/photo-1580064003296-29deb3521370
Chicken Pizza,main,580,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38
Virgin Mojito,drink,170,https://images.unsplash.com/photo-1634496064950-02f043806b09
Lemon Juice,drink,40,https://images.unsplash.com/photo-1621263764928-df1444c5e859
Devils cocktail,drink,250,https://images.unsplash.com/photo-1609951651556-5334e2706168
Rabdi Jalebi,dessert,80,https://images.unsplash.com/photo-1622715395476-3dbcd161df05
Gulab Jamun,dessert,80,https://images.unsplash.com/photo-1593701461250-d7b22dfd3a77
Samosa,starter,50,https://images.unsplash.com/photo-1601050690597-df0568f70950
Bottled Water,drink,10,https://images.unsplash.com/photo-1576468475364-6ff071f7bc7c
Coke,drink,40,https://images.unsplash.com/photo-1554866585-cd94860890b7
Sprite,drink,40,https://images.unsplash.com/photo-1557746534-7e6ca4397ff5
Fanta,drink,40,https://images.unsplash.com/photo-1632818924360-68d4994cfdb2
White sauce pasta,main,340,https://images.unsplash.com/photo-1573821201069-dbf297ca410a
Red Sauce Pasta,main,340,https://images.unsplash.com/photo-1625944525803-d510d5a4a262
Tricolor pasta,main,340,https://www.thecookierookie.com/wp-content/uploads/2022/04/tricolor-pasta-salad-recipe-3.jpg
