menu_id,image_url,restaurant_id,food_type,food_name,food_price
1,https://images.unsplash.com/photo-1580915411954-282cb1b0d780,1,dessert,"Chocolate Ice Cream",238
2,https://images.unsplash.com/photo-1632818924360-68d4994cfdb2,1,drink,Fanta,78
3,https://images.unsplash.com/photo-1573821201069-dbf297ca410a,1,main,"White sauce pasta",378
4,https://images.unsplash.com/photo-1580915411954-282cb1b0d780,1,dessert,"Chocolate Ice Cream",238
5,https://images.unsplash.com/photo-1622715395476-3dbcd161df05,1,dessert,"Rabdi Jalebi",118
6,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38,2,main,"Chicken Pizza",607
7,https://images.unsplash.com/photo-1606755456206-b25206cde27e,2,starter,"French Fries",247
8,https://images.unsplash.com/photo-1622715395476-3dbcd161df05,2,dessert,"Rabdi Jalebi",107
9,https://images.unsplash.com/photo-1580064003296-29deb3521370,2,main,Parantha,37
10,https://images.unsplash.com/photo-1632818924360-68d4994cfdb2,2,drink,Fanta,67
11,https://www.thecookierookie.com/wp-content/uploads/2022/04/tricolor-pasta-salad-recipe-3.jpg,3,main,"Tricolor pasta",386
12,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d,3,starter,"Cheese Block",86
13,https://images.unsplash.com/photo-1557746534-7e6ca4397ff5,3,drink,Sprite,86
14,https://images.unsplash.com/photo-1589647363585-f4a7d3877b10,3,main,"Paneer Makhani",226
15,https://images.unsplash.com/photo-1601050690597-df0568f70950,3,starter,Samosa,96
16,https://images.unsplash.com/photo-1557746534-7e6ca4397ff5,4,drink,Sprite,74
17,https://images.unsplash.com/photo-1622715395476-3dbcd161df05,4,dessert,"Rabdi Jalebi",114
18,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f,4,dessert,"Strawberry Ice Cream",234
19,https://images.unsplash.com/photo-1573821663912-569905455b1c,4,main,"Paneer Pizza",414
20,https://images.unsplash.com/photo-1573821201069-dbf297ca410a,4,main,"White sauce pasta",374
21,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38,5,main,"Chicken Pizza",657
22,https://images.unsplash.com/photo-1573821201069-dbf297ca410a,5,main,"White sauce pasta",417
23,https://images.unsplash.com/photo-1580915411954-282cb1b0d780,5,dessert,"Chocolate Ice Cream",277
24,https://images.unsplash.com/photo-1580915411954-282cb1b0d780,5,dessert,"Chocolate Ice Cream",277
25,https://images.unsplash.com/photo-1554866585-cd94860890b7,5,drink,Coke,117
26,https://images.unsplash.com/photo-1595854341625-f33ee10dbf94,6,main,"Margherita Pizza",574
27,https://images.unsplash.com/photo-1554866585-cd94860890b7,6,drink,Coke,134
28,https://images.unsplash.com/photo-1557746534-7e6ca4397ff5,6,drink,Sprite,134
29,https://images.unsplash.com/photo-1601050690597-df0568f70950,6,starter,Samosa,144
30,https://images.unsplash.com/photo-1634496064950-02f043806b09,6,drink,"Virgin Mojito",264
31,https://images.unsplash.com/photo-1576468475364-6ff071f7bc7c,7,drink,"Bottled Water",86
32,https://images.unsplash.com/photo-1557746534-7e6ca4397ff5,7,drink,Sprite,116
33,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d,7,starter,"Cheese Block",116
34,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f,7,dessert,"Strawberry Ice Cream",276
35,https://images.unsplash.com/photo-1609951651556-5334e2706168,7,drink,"Devils cocktail",326
36,https://images.unsplash.com/photo-1593701461250-d7b22dfd3a77,8,dessert,"Gulab Jamun",90
37,https://images.unsplash.com/photo-1622715395476-3dbcd161df05,8,dessert,"Rabdi Jalebi",90
38,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38,8,main,"Chicken Pizza",590
39,https://images.unsplash.com/photo-1557746534-7e6ca4397ff5,8,drink,Sprite,50
40,https://images.unsplash.com/photo-1589647363585-f4a7d3877b10,8,main,"Paneer Makhani",190
41,https://images.unsplash.com/photo-1573821201069-dbf297ca410a,9,main,"White sauce pasta",436
42,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f,9,dessert,"Strawberry Ice Cream",296
43,https://images.unsplash.com/photo-1541657267876-788b156193bc,9,starter,"Veg Burger",346
44,https://images.unsplash.com/photo-1595854341625-f33ee10dbf94,9,main,"Margherita Pizza",576
45,https://images.unsplash.com/photo-1625944525803-d510d5a4a262,9,main,"Red Sauce Pasta",436
46,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d,10,starter,"Cheese Block",112
47,https://images.unsplash.com/photo-1573821201069-dbf297ca410a,10,main,"White sauce pasta",412
48,https://images.unsplash.com/photo-1622715395476-3dbcd161df05,10,dessert,"Rabdi Jalebi",152
49,https://images.unsplash.com/photo-1593701461250-d7b22dfd3a77,10,dessert,"Gulab Jamun",152
50,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d,10,starter,"Cheese Block",112
51,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d,11,starter,"Cheese Block",133
52,https://images.unsplash.com/photo-1541657267876-788b156193bc,11,starter,"Veg Burger",343
